Comment,Designator,Footprint,LCSC,Quantity
100nF,"C25,C26",C_0402_1005Metric,C6119799,2
10k,"R1,R2,R3,R4,R6",R_0402_1005Metric,C2906885,5
10uH,L4,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C127280,1
12pF,"C12,C13",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C363546,2
1k,R5,R_0402_1005Metric,C11702,1
1uF,C3,C_0402_1005Metric,C7503520,1
2.2uF,C27,C_0402_1005Metric,C7503516,1
32.768kHz,Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,C32346,1
4.7k,"R10,R7,R8,R9",R_0402_1005Metric,C3017492,4
4.7uF,"C1,C15,C2",C_0402_1005Metric,C307423,3
BLUE,D2,LED_0603_1608Metric,C2290,1
BQ24075RGT,U2,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,C15464,1
QMC6309,U6,IC_QMC6309,C5439871,1
RED,D1,LED_0603_1608Metric,C2286,1
Reset,SW2,SW_TS-1088-AR02016,C720477,1
SG-8002CE,Y1,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,C390506,1
SW0,SW3,SW_TS-1088-AR02016,C720477,1
