Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,118.46125,-62.1415,270.0,bottom
C12,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.6375,-66.9,180.0,top
C13,12pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,111.1,-65.9,-90.0,top
C15,4.7uF,C_0402_1005Metric,124.16125,-58.58025,270.0,bottom
C2,4.7uF,C_0402_1005Metric,123.76125,-61.5615,270.0,bottom
C25,100nF,C_0402_1005Metric,115.46125,-52.96475,270.0,bottom
C26,100nF,C_0402_1005Metric,113.48125,-58.04475,180.0,bottom
C27,2.2uF,C_0402_1005Metric,116.69875,-58.36625,0.0,bottom
C3,1uF,C_0402_1005Metric,120.84125,-58.6415,180.0,bottom
D1,RED,LED_0603_1608Metric,118.44875,-63.8415,0.0,bottom
D2,BLUE,LED_0603_1608Metric,115.17375,-63.86025,0.0,bottom
L4,10uH,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,121.525,-67.0,180.0,top
R1,10k,R_0402_1005Metric,124.59,-60.1,180.0,bottom
R10,4.7k,R_0402_1005Metric,121.76125,-54.96025,0.0,bottom
R2,10k,R_0402_1005Metric,117.46125,-62.1415,90.0,bottom
R3,10k,R_0402_1005Metric,122.75125,-58.66025,0.0,bottom
R4,10k,R_0402_1005Metric,113.60125,-59.16025,180.0,bottom
R5,1k,R_0402_1005Metric,115.75125,-62.56025,0.0,bottom
R6,10k,R_0402_1005Metric,119.36125,-58.56025,90.0,bottom
R7,4.7k,R_0402_1005Metric,123.8,-56.3,270.0,bottom
R8,4.7k,R_0402_1005Metric,121.56125,-56.06025,0.0,bottom
R9,4.7k,R_0402_1005Metric,122.15125,-53.76025,0.0,bottom
SW2,Reset,SW_TS-1088-AR02016,117.05,-66.3,0.0,bottom
SW3,SW0,SW_TS-1088-AR02016,123.3,-66.3,180.0,bottom
U2,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,121.11125,-61.304,0.0,bottom
U6,QMC6309,IC_QMC6309,116.66125,-59.56025,90.0,bottom
Y1,SG-8002CE,Oscillator_SMD_SeikoEpson_SG8002CE-4Pin_3.2x2.5mm,112.86125,-55.34475,90.0,bottom
Y2,32.768kHz,Crystal_SMD_2012-2Pin_2.0x1.2mm,113.4,-66.6,180.0,top
